orderID,commodityID,sellerID,buyerID,bidTime,bidPrice,state
T001,M001,U001,U002,2022-09-13-23:08:43,100.0,failed
T002,M002,U001,U002,2022-09-13-23:09:02,10.0,failed
T003,M003,U001,U002,2022-09-13-23:09:14,0.0,succeeded
T004,M001,U001,U003,2022-09-13-23:09:50,101.0,succeeded
T005,M002,U001,U003,2022-09-13-23:10:00,20.0,succeeded
T006,M003,U001,U003,2022-09-13-23:10:12,0.0,succeeded
T007,M004,U003,U001,2022-09-13-23:14:04,10.2,failed
T008,M004,U003,U002,2022-09-13-23:15:16,10.2,failed
T009,M003,U001,U002,2022-09-13-23:33:13,1.0,succeeded
T010,M005,U001,U002,2022-09-13-23:33:36,999.9,succeeded
T011,M005,U001,U003,2022-09-13-23:34:47,999.9,failed
T012,M005,U001,U002,2022-09-13-23:39:33,999.9,failed
T013,M005,U001,U003,2022-09-13-23:42:36,1000.0,succeeded
